ID,Question,科学计数法,图形的初步认识,等差数列,代数意义,绝对值,找规律,其他,反比例函数,勾股定理,非负性,分类讨论,数轴,一元二次方程,一元一次方程,不等式与不等式组,三角形,混合运算,几何,锐角三角函数,图表题,最值问题,数形结合,函数,相似,面积问题,求值问题,二次函数,参数问题,实数,多项式,整式,代入求值,一次函数,有理数,方程与方程组,倒数,整式的加减,动点问题,四边形,平面直角坐标系,分式,整式的乘除与分解因式,相交线与平行线,等比数列,投影与视图,幂的计算,添括号去括号,全等三角形,证明题,轴对称,平方根,立方根,二次方程,二次根式,旋转,二元一次方程组,单项式,恒等变换,数列,圆,合并同类项,相反数
0,"有理数a、b、c在数轴上的位置如图所示，则| a-b |-2| a-c |-| b+c |=(　　)
。a+c a-c 2a-2b 3a-c",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"已知数a、b、c在数轴上的位置如图所示，化简|a+b|-|c-b|的结果是(　　)
。a+c c-a -a-c a+2b-c",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,若| x+2 |+( x+3y+1 )^2=0，则y^x的值为．。9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,若( x+2 )^2+| y-3 |=0，则x^y的值为．。-8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,计算：( 1+sqrt2 )^2( 1+sqrt3 )^2( 1-sqrt2 )^2( 1-sqrt3 )^2．。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,计算：( -frac12 )^-1-2+( pi -3.14 )^0-( -2 )^-3．。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,肇庆市常住人口是4460000人，数据4460000用科学记数法表示为．。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,截止到2016年6月，我国森林覆盖面积约为208000000公顷，将208000000用科学记数法表示为．。,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"分解因式：
(1)( x^2+3x+2 )( 4x^2+8x+3 )-90;
(2)( 6x+7 )^2( 3x+4 )( x+1 )-6．。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,"解方程：(1)(x-2)^2=2-x   
(2)(3x-2)^2=(4-x)^2 ．。",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
